ID,NAME,TEST_NAME__C,CATEGORY__C,START_DATE__C,END_DATE__C
a3Q2i000000KTwcEAG,ACET,Acetaminophen,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KTwfEAG,ACETYLMO,Acetylcholine Recept,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KTwiEAG,ACTPRC,Activated Protein C-,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KTxWEAW,CBC,Complete Blood Count,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KTzAEAW,HEPPBSAG,Hepatitis B surface,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KTzTEAW,HYDP,17-Hydroxyprogestero,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU01EAG,LEAD,"Lead, Blood",LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU07EAG,LITH,Lithium,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0NEAW,MUMPSIGG,Mumps Virus IgG Anti,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0OEAW,MYCOABS,Mycoplasma pneum IgG,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0gEAG,PROACID,Prostatic Acid Phosp,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0jEAG,PROTCF,Protein C Activity,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0kEAG,PROTS,"Protein S Ag, Total",LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0lEAG,PSADX,PSA Diagnostic,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0mEAG,PSAPHI,PSA Dx Rflx PHI,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0nEAG,PSASC,PSA Screen,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0pEAG,PTHRP,PTH Related Protein,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0vEAG,RBCFOL,Red Blood Cell Folat,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0xEAG,RBCZN,"Zinc, RBC",LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0yEAG,RCOF,Ristocetin Cofactor,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU0zEAG,RENIN,"Renin Activity, Plas",LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU10EAG,RET,Reticulocyte Count,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU11EAG,RF,Rheumatoid Factor,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU12EAG,RICKET,"Rickettsia Abs (IgG,",LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU1EEAW,SPE,Protein Electrophore,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU1QEAW,STLREDSUB,Reducing Sub Stool,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU2SEAW,URMALBCRE,Microalbumin and Cre,LAB,2022-04-04T00:00:00.000Z,
a3Q2i000000KU2wEAG,CUABS,Abscess Culture and,MIC,2022-04-04T00:00:00.000Z,
a3Q2i000000KU39EAG,CUGC,Neisseria gonorrhoea,MIC,2022-04-04T00:00:00.000Z,